slice_feature,slice_value,n,positives,prevalence,selection_rate,precision,recall_tpr,false_positive_rate,false_negative_rate,average_precision,support_note
employee_gender,Female,833,60,0.07202881152460984,0.12004801920768307,0.4,0.6666666666666666,0.07761966364812418,0.3333333333333333,0.3822011774868306,adequate_for_directional_audit
employee_gender,Male,938,58,0.06183368869936034,0.1023454157782516,0.3645833333333333,0.603448275862069,0.06931818181818182,0.39655172413793105,0.36794751958533656,adequate_for_directional_audit
employee_gender,Nonbinary,29,2,0.06896551724137931,0.034482758620689655,1.0,0.5,0.0,0.5,0.75,low_support
region,APAC,569,50,0.08787346221441125,0.13884007029876977,0.4050632911392405,0.64,0.0905587668593449,0.36,0.4215854253468034,adequate_for_directional_audit
region,EMEA,430,21,0.04883720930232558,0.10930232558139535,0.2765957446808511,0.6190476190476191,0.08312958435207823,0.38095238095238093,0.3437573214945825,adequate_for_directional_audit
region,LATAM,275,21,0.07636363636363637,0.10181818181818182,0.5,0.6666666666666666,0.05511811023622047,0.3333333333333333,0.39029149913970124,adequate_for_directional_audit
region,North America,526,28,0.053231939163498096,0.0817490494296578,0.3953488372093023,0.6071428571428571,0.05220883534136546,0.39285714285714285,0.36873854124878475,adequate_for_directional_audit
